"pair","gene","excess_before","excess_after","retained","induced_share"
"epithelial -> fibroblast","CD81",616.037182916645,501.740548050208,0.814464714085445,0.788026059353947
"epithelial -> fibroblast","CXCL14",479.704746463803,407.57019239868,0.849627182976882,0.848137430088765
"epithelial -> fibroblast","CCND1",539.996914635419,420.206753644157,0.778165101050366,0.787441597903707
"epithelial -> immune other","HSP90AA1",1683.89631559815,1266.30369173589,0.752008113567304,0.747574947047368
"epithelial -> immune other","CLU",1517.96339997679,975.360997600247,0.642545793670097,0.730590359558444
"epithelial -> malignant","CXCL2",947.594186345506,619.616934910081,0.65388427223229,0.717215540555893
"epithelial -> malignant","CXCL3",857.075335578927,733.181680357749,0.855446014978961,0.82876147510087
"fibroblast -> endothelial","IGFBP3",1591.39320474206,1419.06607525819,0.891713041773486,0.8914990810768
"fibroblast -> macrophage","MT2A",936.841078040685,696.861075303971,0.743841289241277,0.695040790180694
"fibroblast -> macrophage","PTGDS",698.875738016753,659.191618987232,0.943217203186742,0.8768887772232
"fibroblast -> malignant","THBS1",1204.42347820635,997.472853644587,0.828174534699409,0.828174534699409
"fibroblast -> malignant","COL16A1",578.516289233147,578.516289233147,1,0.822690324695998
"fibroblast -> malignant","COL6A1",2156.08919840848,2156.08919840848,1,0.901191883316638
"immune other -> fibroblast","RGS2",3770.68438652393,2915.03503533024,0.773078501544254,0.787131229908066
"macrophage -> endothelial","DUSP5",5257.25605813228,4564.46438496646,0.868221812765967,0.855575042431167
"macrophage -> endothelial","GADD45B",1083.93076123454,1028.15807647917,0.948545897256526,0.944827293666661
"macrophage -> fibroblast","DUSP5",5209.54187870662,3510.35735139506,0.673832254951865,0.696704842149099
"macrophage -> fibroblast","MMP12",232.566911285036,212.916982113271,0.915508491456542,0.871552988819441
"macrophage -> immune other","NPPC",6637.02422464658,4098.36248592184,0.617500004098611,0.589125792185569
"macrophage -> immune other","GADD45B",3172.93220870474,1901.44475646256,0.599270526879225,0.655587231198078
"macrophage -> immune other","GLUL",7484.99092253877,3706.17639214978,0.495147747072045,0.604963088769374
"macrophage -> immune other","FGR",1649.52011647684,1371.59228343336,0.831509885652624,0.822101095231737
"macrophage -> immune other","FCGR3A",2948.87373662663,2093.84689332705,0.710049693657726,0.727360754023368
"macrophage -> immune other","SRGN",7152.53088622954,6077.13314501391,0.849647941641742,0.815693740545124
"macrophage -> immune other","HCK",842.992223008379,692.300564690816,0.821241935329142,0.806537020711048
"macrophage -> immune other","CCL3",1635.97642726921,1296.44895740302,0.792461881353061,0.818338193336284
"macrophage -> immune other","FPR1",2050.06584975985,1860.22803129253,0.907399160622302,0.892819182053629
"macrophage -> immune other","TLR2",2244.04291809487,2039.02532804155,0.908639184928171,0.89162455376799
"macrophage -> immune other","CCRL2",639.427767089103,534.783444977977,0.836346922205923,0.831975408441962
"macrophage -> immune other","CCL3L3",2106.10954813648,1860.90128546866,0.883572883051227,0.890491458319037
"macrophage -> immune other","ITGAM",774.332732560183,642.964539157293,0.83034658373727,0.810159908005109
"macrophage -> immune other","CLEC7A",1125.3467443179,926.575416611263,0.823368816135765,0.816888773367426
"macrophage -> immune other","S100A9",3141.46226712654,2664.23592794288,0.848087833434275,0.82412172146586
"macrophage -> immune other","ITGAX",2518.70317048683,2053.05818541146,0.81512510464448,0.816204270253879
"macrophage -> immune other","CCL4",1511.16878215835,1335.27020885398,0.883600974701754,0.87311917343936
"macrophage -> immune other","CCL4L2",2019.96712639006,1839.1880981551,0.910503975102784,0.904314746543632
"macrophage -> immune other","OLR1",474.862289132139,413.177648382267,0.870099938104988,0.842434251545566
"macrophage -> immune other","LEP",462.376430936812,422.449175661121,0.913647728118851,0.898236529189889
"macrophage -> immune other","C5AR2",522.801652100694,451.375617738581,0.86337833081607,0.839388090937569
