pair,state,median_nn_obs,median_nn_null,dist_ratio,coloc1um_obs,coloc1um_null,coloc_enrichment,n_molecules
Immune -> Exocrine epithelial,unexposed,3.1227218851679868,3.8706532927191315,1.2395126543620807,0.07933662034961901,0.029000448229493502,2.7357032457496135,4462
Immune -> Fibroblast / CAF,exposed,2.517888068408384,2.717857562045481,1.0794195326416962,0.09383692739568712,0.07749138701033559,1.2109336407047586,39185
Immune -> Fibroblast / CAF,unexposed,2.6350374808555563,3.0267078638417986,1.148639397288221,0.09619011693700491,0.06537155790267823,1.4714368147720716,2651
Immune -> Mural / pericyte,exposed,2.925761557602201,3.1249498279249956,1.06808082832493,0.07287933094384708,0.06463560334528076,1.1275415896487986,837
Mural / pericyte -> Ductal/tumor epithelial,exposed,3.977567501469348,4.111398287267683,1.0336463895958765,0.03401759530791789,0.0256891495601173,1.3242009132420092,1705
Mural / pericyte -> Ductal/tumor epithelial,unexposed,4.296615568322975,4.414370463479923,1.0274064303134545,0.03140695530548668,0.0203382287494437,1.544232572678962,15729
Mural / pericyte -> Endothelial,exposed,2.901107580084008,2.85889952094619,0.9854510534433211,0.07278165503489531,0.05979561316051844,1.2171738224260107,4012
Mural / pericyte -> Endothelial,unexposed,3.202138480482257,3.261115909361521,1.0184181381407282,0.052688756110809344,0.04549158066268332,1.1582089552238808,7364
Mural / pericyte -> Exocrine epithelial,exposed,3.728375649703497,3.825763846901334,1.0261208114063245,0.04881656804733728,0.038905325443786984,1.2547528517110265,676
Mural / pericyte -> Exocrine epithelial,unexposed,4.149578825588802,4.299833732393028,1.0362096764803366,0.036216360958629,0.022673718034542777,1.59728373191615,14938
Mural / pericyte -> Fibroblast / CAF,exposed,3.6406997819105316,3.5819814068173392,0.9838716789049883,0.04614485981308411,0.04223130841121495,1.0926694329183955,3424
Mural / pericyte -> Fibroblast / CAF,unexposed,4.180622443248788,4.139541888453273,0.9901735793286343,0.030668677727501256,0.029763700351935644,1.0304054054054055,7956
Mural / pericyte -> Immune,exposed,2.9090448414668453,2.89805632332465,0.9962226370712614,0.08653846153846154,0.07470565149136578,1.1583924349881796,5096
Mural / pericyte -> Immune,unexposed,3.2829002013198667,3.296307537175844,1.0040839912984827,0.05731558004285277,0.04905111723293541,1.1684867394695788,13068
