"pair","source","target","pool","strict"
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial","THBS2;VCAN;SFRP2;MFAP5;PDPN;SEMA3C;CTSK;LTBP2;COL5A2;PDGFRA;SFRP4;BASP1;FBLN1;IGF1;PTGDS;GEM;THY1;FBN1;RGS16;PCOLCE","THBS2;VCAN;SFRP2"
"Fibroblast / CAF -> Exocrine epithelial","Fibroblast / CAF","Exocrine epithelial","VCAN;THBS2;COL5A2;SFRP2;FBN1;MFAP5;CTSK;GEM;SEMA3C;LTBP2;BASP1;SFRP4;THY1;PDGFRA;FBLN1;ASPN;PDPN;PTGDS;PCOLCE;PMP22","VCAN;THBS2;COL5A2;SFRP2;FBN1;MFAP5;CTSK;GEM;SEMA3C;LTBP2;BASP1;SFRP4;THY1;PDGFRA"
"Fibroblast / CAF -> Immune","Fibroblast / CAF","Immune","SFRP2;THBS2;COL5A2;FBN1;VCAN;CTSK;PDGFRA;FBLN1;SFRP4;MFAP5;LTBP2;THY1;GEM;PCOLCE;ASPN;SEMA3C;PTGDS;INMT;APCDD1;SRPX","SFRP2;THBS2"
"Fibroblast / CAF -> Mural / pericyte","Fibroblast / CAF","Mural / pericyte","SFRP2;MFAP5;VCAN;FBLN1;SFRP4;THY1;CTSK;BASP1;PTGDS;PDPN;MEST;ALDH1A3;LTBP2;PDGFRA;THBS2;COL5A2;SEMA3C;IGF1;DPT;C7","SFRP2;MFAP5"
"Immune -> Ductal/tumor epithelial","Immune","Ductal/tumor epithelial","IL7R;CD163;PTPRC;MRC1;CD8A;MS4A4A;CCL5;VSIG4;MS4A6A;GZMK;CD2;GZMA;FCGR3A;LILRB4;GPR183;CYTIP;FGL2;KLRB1;IGSF6;TRAC","IL7R;CD163;PTPRC;MRC1;CD8A;MS4A4A;CCL5;VSIG4;MS4A6A;GZMK;CD2;GZMA;FCGR3A;LILRB4"
"Immune -> Endocrine","Immune","Endocrine","IL7R;PLA2G7;CD163;CSF2RA;CXCR4;TRAC;MS4A6A;CD2;CD3E;VSIG4;MS4A1;MS4A4A;CCL5;TREM2;PTPRC;FCGR3A;GZMK;LILRB4;CLEC4E;GPR183","IL7R;PLA2G7;CD163;CSF2RA;CXCR4;TRAC;MS4A6A;CD2;CD3E;VSIG4;MS4A1;MS4A4A;CCL5;TREM2;PTPRC;FCGR3A;GZMK;LILRB4;CLEC4E;GPR183"
"Immune -> Endothelial","Immune","Endothelial","IL7R;LILRB4;GZMK;PLA2G7;CD163;TREM2;PTPRC;CD2;VSIG4;CSF2RA;CD8A;MS4A6A;TRAC;HAVCR2;FOXP3;KLRB1;CTLA4;CYTIP;CCL5;MS4A1","IL7R;LILRB4;GZMK;PLA2G7;CD163;TREM2;PTPRC"
"Immune -> Exocrine epithelial","Immune","Exocrine epithelial","IL7R;CXCR4;PLA2G7;PTPRC;TRAC;CD163;MRC1;CCL5;MS4A4A;GZMK;CD3E;CD2;IL2RA;VSIG4;KLRB1;CSF2RA;CD8A;FCGR3A;MS4A6A;GZMA","IL7R;CXCR4;PLA2G7;PTPRC;TRAC;CD163;MRC1;CCL5;MS4A4A;GZMK;CD3E;CD2;IL2RA;VSIG4;KLRB1;CSF2RA;CD8A"
"Immune -> Fibroblast / CAF","Immune","Fibroblast / CAF","MS4A1;NKG7;CD8A;CXCR4;PTPRC;MS4A6A;GPR183;MS4A4A;CSF2RA;CD163;TREM2;PLA2G7;FOXP3;CYTIP;CD69;FCER1A;IL7R;VSIG4;KLRB1;LY86",""
"Immune -> Mural / pericyte","Immune","Mural / pericyte","CD3D;SLAMF7;MS4A1;KLRB1;CXCR4;VSIG4;CD8A;PLA2G7;FCN1;MRC1;IL7R;MS4A6A;CD3E;CCL5;CD163;CD86;CD79A;CSF2RA;MS4A4A;FCER1A","CD3D;SLAMF7;MS4A1;KLRB1;CXCR4;VSIG4;CD8A;PLA2G7;FCN1;MRC1;IL7R;MS4A6A;CD3E;CCL5;CD163;CD86;CD79A"
"Mural / pericyte -> Ductal/tumor epithelial","Mural / pericyte","Ductal/tumor epithelial","MYH11;MEDAG;ADAMTS1;ACTA2;PDGFRB;CNN1;CRISPLD2;RERGL;MYLK;CCL19;DES;TIMP4;OGN;IL1RL1;MAMDC2;CAV1;SNCG;RETN;MEF2C;PTN","MYH11;MEDAG;ADAMTS1;ACTA2;PDGFRB;CNN1;CRISPLD2"
"Mural / pericyte -> Endothelial","Mural / pericyte","Endothelial","MYH11;TNC;CNN1;RERGL;MEDAG;DES;ACTA2;MYLK;ACTG2;CRISPLD2;ADAMTS1;TIMP4;OGN;PLIN4;CCDC78;ASCL1;SLC4A1;TBX3;SNCG;MAMDC2","MYH11;TNC;CNN1;RERGL"
"Mural / pericyte -> Exocrine epithelial","Mural / pericyte","Exocrine epithelial","MYH11;MEDAG;TNC;ACTA2;CNN1;ADAMTS1;PDGFRB;MYLK;CRISPLD2;TBX3;SNCG;RERGL;CCL19;TIMP4;CAVIN1;DES;CAV1;ACTG2;TMEM100;OGN","MYH11;MEDAG;TNC;ACTA2;CNN1;ADAMTS1;PDGFRB;MYLK;CRISPLD2;TBX3;SNCG"
"Mural / pericyte -> Fibroblast / CAF","Mural / pericyte","Fibroblast / CAF","RERGL;MYH11;ADAMTS1;SNCG;MEDAG;CNN1;TNC;DES;LGI4;CAV1;HES4;ADH4;PLIN4;RETN;CDH16;SLC4A1;AHSP;LY6D;TIMP4;DNAAF1","RERGL;MYH11"
"Mural / pericyte -> Immune","Mural / pericyte","Immune","MYH11;ADAMTS1;CNN1;RERGL;MEDAG;TNC;ACTA2;MYLK;DES;CAV1;SNCG;PDGFRB;CRISPLD2;TBX3;HES4;TIMP4;CAVIN1;ACTG2;ADH4;LGI4","MYH11;ADAMTS1"
