pair,gene,excess,expected,resid_z
Fibroblast / CAF -> Ductal/tumor epithelial,LTBP2,3543.964898729641,1495.863408535844,25.428554516616387
Fibroblast / CAF -> Ductal/tumor epithelial,SEMA3C,4181.180887626518,654.9307773891685,25.138581346293833
Fibroblast / CAF -> Ductal/tumor epithelial,BASP1,2750.5082650147024,969.8195282852024,22.738976839924817
Fibroblast / CAF -> Endocrine,ASPN,142.15376176109328,42.358257300145254,6.955673908832634
Fibroblast / CAF -> Endocrine,FBLN1,142.68121921843138,52.59680813358818,6.107324889644577
Fibroblast / CAF -> Endocrine,SFRP4,134.61166032650823,56.37118916117097,5.813343973458577
Fibroblast / CAF -> Endothelial,THY1,1575.3858888953253,466.0873506206037,18.442748491089738
Fibroblast / CAF -> Endothelial,ASPN,1635.578833342988,481.0472944133465,16.842879527161205
Fibroblast / CAF -> Endothelial,APCDD1,895.1365231999073,214.50051144744103,12.311312308550063
Fibroblast / CAF -> Exocrine epithelial,C7,1068.6754959021262,178.7107687400583,18.933692259885266
Fibroblast / CAF -> Exocrine epithelial,SFRP4,1255.7323835966267,470.14780371832387,16.45123977686845
Fibroblast / CAF -> Exocrine epithelial,FBLN1,1002.5431687255018,438.6686567122064,12.049504556484836
Fibroblast / CAF -> Immune,SFRP4,3399.4263501840305,1595.206844022788,18.197021172099113
Fibroblast / CAF -> Immune,PMP22,3183.479670783659,994.4233527071322,15.456750755435404
Fibroblast / CAF -> Immune,CTSK,2718.2445300511854,1653.3543823797368,11.58561132280203
Fibroblast / CAF -> Mural / pericyte,THY1,275.21321645313554,58.95966551462796,9.847381787663139
Fibroblast / CAF -> Mural / pericyte,FBLN1,269.04409979770736,75.5608398330846,8.970158306378186
Fibroblast / CAF -> Mural / pericyte,SFRP4,216.39703304113283,80.98313465314025,6.059764559435184
Immune -> Ductal/tumor epithelial,GLIPR1,1073.128887429879,254.6449661808496,16.24345203378144
Immune -> Ductal/tumor epithelial,SPIB,672.8774415618271,20.910392688906036,16.07628677353383
Immune -> Ductal/tumor epithelial,KIT,352.21401260970737,48.87643935259632,8.91904650352073
Immune -> Endothelial,SELL,143.19204269285697,15.542268184075073,7.104271010769229
Immune -> Endothelial,MNDA,189.3968882319044,90.36202432601786,4.186393425539815
Immune -> Endothelial,SERPINB9,219.42111592714156,62.819679311447615,3.98734994115685
Immune -> Exocrine epithelial,SPIB,271.2402732532168,27.72073497252628,7.1452608986113475
Immune -> Exocrine epithelial,FCGR1A,682.9774359086106,339.11132230194727,6.896338701129678
Immune -> Exocrine epithelial,C1orf162,933.2608707494851,606.454852221035,5.941319092937179
Immune -> Fibroblast / CAF,IL7R,4963.350756216355,2256.2744465853575,18.27029962647038
Immune -> Fibroblast / CAF,CD8A,1978.436644450141,900.9696595579755,12.213414063743617
Immune -> Fibroblast / CAF,PTPRC,4323.860881825173,2438.5218705985094,11.612110627587539
Mural / pericyte -> Ductal/tumor epithelial,TNC,475.7854098029615,46.79901736972707,13.57845911093238
Mural / pericyte -> Ductal/tumor epithelial,ACTG2,549.0400937198308,69.3026796271456,10.075240277218501
Mural / pericyte -> Ductal/tumor epithelial,CAVIN1,341.6444510833935,62.85258534954156,9.232246575553782
Mural / pericyte -> Endothelial,ADAMTS1,2045.613732372683,549.1558425621969,26.674347759256353
Mural / pericyte -> Endothelial,CAVIN1,773.4662356056406,291.17876295468363,9.878340435914245
Mural / pericyte -> Endothelial,TMEM100,72.22884414064904,15.936808006641748,4.425692183086864
Mural / pericyte -> Exocrine epithelial,ADAMTS1,97.31760418177038,35.345731100517476,4.971582972672401
Mural / pericyte -> Exocrine epithelial,MYLK,80.53843979857903,39.876139198044505,3.098714624281088
Mural / pericyte -> Fibroblast / CAF,TNC,467.56305575059685,210.5672240278862,6.800758899359536
Mural / pericyte -> Fibroblast / CAF,PDGFRB,732.5712422412585,311.49760859255446,5.842862630232225
