target,source,gene,retained_molecules,log_fold_per_neighbor,z,dispersion,owner
Ductal/tumor epithelial,Immune,MYBPC1,251.25458742456829,-0.09961332934334066,-1.5292865433908593,1.0,Immune
Ductal/tumor epithelial,Mural / pericyte,MYBPC1,251.25458742456829,-0.07143748511630472,-0.28194709016751707,1.0,Immune
Ductal/tumor epithelial,Endocrine,CCL19,181.31967459890058,0.3178869593268195,1.5032203707322922,1.0,Mural / pericyte
Ductal/tumor epithelial,Endothelial,CCL19,181.31967459890058,-0.054269876578943776,-0.3909275967197646,1.0,Mural / pericyte
Ductal/tumor epithelial,Exocrine epithelial,CCL19,181.31967459890058,-0.05175638568290966,-0.9265497571828011,1.0,Mural / pericyte
Ductal/tumor epithelial,Fibroblast / CAF,CCL19,181.31967459890058,-0.00541229244690153,-0.10082235033877625,1.0,Mural / pericyte
Ductal/tumor epithelial,Immune,CCL19,181.31967459890058,-0.07063218460674442,-0.9426237781340645,1.0,Mural / pericyte
Ductal/tumor epithelial,Mural / pericyte,CCL19,181.31967459890058,-0.3040776316561179,-0.9031761973180662,1.0,Mural / pericyte
Ductal/tumor epithelial,Endocrine,PROX1,10180.17986496882,0.04989262003057831,1.6406412381273074,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Endothelial,PROX1,10180.17986496882,0.1286683775128918,10.17070841482623,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Exocrine epithelial,PROX1,10180.17986496882,0.7240392692555535,86.47942044631104,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Fibroblast / CAF,PROX1,10180.17986496882,0.10443919848883192,10.464258608024583,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Immune,PROX1,10180.17986496882,0.019082862707453598,1.8416738357229492,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Mural / pericyte,PROX1,10180.17986496882,0.17643590589392702,3.846436855782653,1.4196039609677378,Exocrine epithelial
Ductal/tumor epithelial,Endocrine,RBP5,564.2206653362989,-0.07488513597958747,-0.37930980086735844,1.0,Endothelial
Ductal/tumor epithelial,Endothelial,RBP5,564.2206653362989,-0.017044289126507853,-0.24075074426320142,1.0,Endothelial
Ductal/tumor epithelial,Exocrine epithelial,RBP5,564.2206653362989,0.04052391191742777,1.4294749678258898,1.0,Endothelial
Ductal/tumor epithelial,Fibroblast / CAF,RBP5,564.2206653362989,-0.08192780682635496,-2.5541240627899846,1.0,Endothelial
Ductal/tumor epithelial,Immune,RBP5,564.2206653362989,0.005124404897600985,0.12899418405958255,1.0,Endothelial
Ductal/tumor epithelial,Mural / pericyte,RBP5,564.2206653362989,0.10577155914008432,0.6893429178103706,1.0,Endothelial
Ductal/tumor epithelial,Endocrine,AGR3,1788.0,0.25933752064262594,3.97466478764397,1.4172690753974766,Ductal/tumor epithelial
