cls,gene,n,removal_prob
induction,DIRAS3,3,0.028042892075204273
inplane,PCNA,1,0.6911985418679131
inplane,CFB,1,0.942600796818323
inplane,CFTR,1,0.9998938734572431
inplane,ERBB2,1,0.9611677569464421
induction,CA4,2,0.012885484842182993
induction,PROX1,5,0.09218882428475794
induction,DIRAS3,3,0.017173584408702536
ambient,CPA3,1,0.8683239604632422
ambient,AQP8,1,0.9998163392452767
inplane,AMY2A,3,0.9999633347703984
inplane,GATM,1,0.9999193542935815
outplane,AMY2A,4,0.9999787905126785
ambient,COCH,1,0.8707580796476468
ambient,GATM,1,0.9999440148991297
induction,CA4,1,0.01810225005488597
induction,PROX1,4,0.12538117055752673
induction,DIRAS3,5,0.023664996883429157
outplane,CFTR,1,0.9998679376019177
outplane,AMY2A,1,0.9999771575158837
outplane,CD8A,1,0.5379802553663318
outplane,CXCL6,1,0.9982187136177771
outplane,GATM,2,0.9999512193145712
ambient,ANPEP,1,0.9997462657611818
ambient,KLK11,1,0.9972443449332921
inplane,TENT5C,1,0.9976830502843361
inplane,AMY2A,1,0.9999807524963402
inplane,FXYD2,1,0.9787037040732709
inplane,GATM,1,0.9999593858560717
inplane,TCIM,1,0.0
inplane,MYC,1,0.6815921988019313
inplane,CFTR,1,0.9998645402079986
inplane,AMY2A,2,0.9999759459785326
induction,CA4,1,0.019616292368015542
induction,PROX1,5,0.13604331761317212
induction,DIRAS3,4,0.026439556088264204
induction,CA4,3,0.02953563280312499
induction,PROX1,3,0.19502899261223006
induction,DIRAS3,4,0.04003806120887077
outplane,ANPEP,1,0.9996872771102152
outplane,TENT5C,1,0.9975704333270268
outplane,AMY2A,1,0.9999781535453377
outplane,GATM,2,0.9999534116552995
outplane,AQP8,1,0.9998078724017508
outplane,PDGFRB,1,0.22080940050101772
outplane,ASPN,1,0.32504743240458833
outplane,TBX3,1,0.24214986441593478
outplane,EHF,1,0.9987766778265522
outplane,AMY2A,1,0.9999787420102186
ambient,ANPEP,1,0.999640012952612
ambient,CA4,1,0.06574491617818001
ambient,PROX1,1,0.3154827997380726
ambient,AQP3,1,0.8914755843378976
outplane,MYH11,1,0.9961559273701168
outplane,AMY2A,2,0.9999803263255987
outplane,GATM,2,0.9999584249559038
induction,CA4,4,0.018578772048822967
induction,PROX1,1,0.13076038664084155
induction,DIRAS3,5,0.025275493636381707
ambient,UMOD,1,0.9248559966938243
ambient,AQP8,1,0.9998195322039718
inplane,AMY2A,2,0.9999803408097505
inplane,HAMP,1,0.9082944317607022
inplane,GATM,1,0.9999585797641591
outplane,MYC,1,0.81984906717812
outplane,AMY2A,3,0.9999795347285387
inplane,NTN4,1,0.7589565193625818
inplane,TENT5C,1,0.9976007863162074
inplane,AMY2A,1,0.9999801498924777
inplane,GATM,1,0.9999581929718172
outplane,FKBP11,1,0.9763965676417278
outplane,EPCAM,1,0.9995556399583619
outplane,MET,1,0.7455890345893702
outplane,AMY2A,2,0.9999760694771949
outplane,GATM,1,0.9999482197752733
ambient,PEBP4,1,0.7875821200921183
ambient,GLYATL1,1,0.6716962336322025
outplane,SRPX,1,0.24875974520660482
outplane,AMY2A,2,0.9999807100835505
outplane,GATM,1,0.9999592936846936
outplane,CD3D,1,0.8277678902894585
outplane,AMY2A,2,0.9999728312254006
outplane,GATM,1,0.9999415707298844
induction,CA4,3,0.017049145754025274
induction,PROX1,4,0.1187249708894964
induction,DIRAS3,3,0.022139717009109106
inplane,PCNA,1,0.6928134426538388
inplane,AMY2A,2,0.9999770895473905
inplane,AQP8,1,0.9997975766102791
induction,CA4,3,0.02201045923381173
induction,PROX1,3,0.15217152555793445
induction,DIRAS3,4,0.02994072258695457
outplane,CLEC4E,1,0.8244988415412623
outplane,PPP1R1B,1,0.9900951797613292
outplane,AMY2A,1,0.9999787951828354
outplane,AQP8,1,0.9998141296231065
inplane,CXCR4,1,0.0712891567198689
inplane,MYC,1,0.4337726182658661
inplane,C1orf162,2,0.583704337482966
inplane,AMY2A,1,0.999924888306035
induction,CA4,3,0.02263133124188632
induction,PROX1,6,0.15419393970848816
induction,DIRAS3,1,0.030629010706903603
outplane,NTN4,1,0.8982759209701026
outplane,CFB,1,0.935697037089497
outplane,KCNK3,1,0.9848947633513132
outplane,CXCL2,1,0.7923932860206614
ambient,CFTR,1,0.9998932165774254
ambient,GATM,1,0.999961476652174
ambient,RIDA,1,0.9011322464128365
ambient,AMY2A,1,0.9999802842609601
outplane,TIMP4,1,0.38759698951428645
outplane,AMY2A,2,0.9999823868223642
outplane,GATM,1,0.9999629086769694
outplane,AQP8,1,0.9998484002901157
induction,CA4,1,0.025995899450288684
induction,PROX1,5,0.17506038077046115
induction,DIRAS3,4,0.03487701341211735
ambient,UMOD,1,0.9281829930314732
ambient,COCH,1,0.8485448291567833
outplane,AMY2A,3,0.9999833216762724
outplane,CPA3,1,0.9347527007869731
inplane,AMY2A,3,0.9999820178259503
inplane,FXYD2,1,0.9844592684159099
inplane,SMYD2,1,0.7826894656007892
inplane,FKBP11,1,0.9459293873638795
inplane,AMY2A,2,0.9999801255879158
inplane,AMY2A,2,0.9999303837495236
inplane,GATM,1,0.999835148126257
inplane,AQP8,1,0.999261583738948
outplane,FKBP11,1,0.7940103529615932
outplane,MYC,1,0.461497952912005
outplane,ANPEP,1,0.9990715208583143
outplane,RND1,1,0.20263541351949954
outplane,AMY2A,2,0.9999344226424798
outplane,GPC3,1,0.527394422622433
outplane,GATM,1,0.9998446600423656
outplane,SEMA3C,1,0.8168225546165665
outplane,CFTR,1,0.9997022719535829
outplane,AMY2A,3,0.999933944427328
outplane,AMY2A,2,0.9999241574704887
outplane,FXYD2,2,0.9129225717358094
outplane,AMY2A,4,0.9999437348030106
outplane,GATM,1,0.9998706078670622
outplane,FKBP11,1,0.787861693621532
outplane,CFTR,1,0.9996786295924774
outplane,AMY2A,1,0.9999444132502578
outplane,CPA3,1,0.650678315302204
outplane,GATM,1,0.9998722552891625
ambient,RIDA,1,0.5473008884301543
ambient,COCH,1,0.42752441365136407
inplane,CFTR,2,0.9996712877663981
inplane,TM4SF4,1,0.9931888426602273
inplane,GATM,1,0.9998403473428186
induction,CA4,2,0.020390267587649613
induction,PROX1,2,0.1183285532780376
induction,DIRAS3,2,0.02631820889928982
outplane,PDGFRA,1,0.8409225924436063
outplane,AMY2A,1,0.9999220843354968
outplane,C7,1,0.6344597292214806
outplane,GATM,1,0.999816208848154
induction,CA4,4,0.029180469525845742
outplane,AMY2A,4,0.999936423480895
outplane,AQP8,1,0.9993154038041732
outplane,GCG,1,0.9976496520124807
outplane,SFRP4,1,0.8985259229005123
outplane,CFTR,2,0.9996822068213557
outplane,AMY2A,1,0.9999425573964578
outplane,PROX1,1,0.24520575884504903
induction,CA4,3,0.015570986550436539
induction,PROX1,4,0.098628863832397
induction,DIRAS3,1,0.020268239402158716
ambient,FKBP11,1,0.8326099638608053
ambient,COCH,1,0.5626810876689963
inplane,PMP22,1,0.2097795038333713
inplane,MYC,1,0.5074361321539801
inplane,AMY2A,4,0.9999629125107298
induction,CA4,2,0.04516976964919073
induction,PROX1,2,0.21735640560899872
inplane,MDM2,1,0.7703248365679642
inplane,CFTR,1,0.9997856959034243
inplane,AMY2A,1,0.9999455174038694
inplane,GATM,1,0.9998748088623467
outplane,FGL2,1,0.6024736493009255
outplane,PTPRC,1,0.997825191122848
outplane,AMY2A,2,0.9999425791510697
ambient,CA4,1,0.04985124504896121
ambient,COCH,1,0.45663696384307273
outplane,CFTR,1,0.9998373535627838
outplane,AMY2A,2,0.9999730345092152
outplane,GATM,2,0.9999421271719339
induction,CA4,4,0.015346499870653174
induction,PROX1,2,0.10870011012817193
induction,DIRAS3,4,0.020686462011574758
inplane,KRT7,1,0.9908318002600637
inplane,AMY2A,5,0.9999805937910844
inplane,GATM,1,0.9999590183578824
outplane,TENT5C,1,0.9962499991721134
outplane,AMY2A,4,0.9999639538303187
outplane,AQP8,1,0.9996701059133363
