pair,stratum,totals,rate,excess_rate,lam
immune other -> fibroblast,8,361914.0,0.020664689886683043,6.78526203189457e-05,0.000572344962823374
immune other -> fibroblast,9,364218.0,0.020877606268773097,0.00028076900240900024,0.002368320095677507
immune other -> fibroblast,10,326627.0,0.02093033079262569,0.000333493526261594,0.0028130577565437446
immune other -> fibroblast,11,292723.0,0.02093033079262569,0.000333493526261594,0.0028130577565437446
immune other -> fibroblast,12,232906.0,0.02093033079262569,0.000333493526261594,0.0028130577565437446
immune other -> fibroblast,13,177430.0,0.021275996167502677,0.0006791589011385796,0.005728786511061061
immune other -> fibroblast,14,89270.0,0.022291923378514617,0.00169508611215052,0.014298253969866457
immune other -> fibroblast,15,30738.0,0.02374910534192205,0.003152268075557952,0.02658975800836925
macrophage -> fibroblast,0,2577774.0,0.02625933307459935,0.0,0.0
macrophage -> fibroblast,1,834716.0,0.02625933307459935,0.0,0.0
macrophage -> fibroblast,2,296312.0,0.02625933307459935,0.0,0.0
macrophage -> fibroblast,3,138135.0,0.02625933307459935,0.0,0.0
macrophage -> fibroblast,4,49915.0,0.02814827332311369,0.0018889402485143397,0.007955491221147935
macrophage -> fibroblast,5,25015.0,0.02814827332311369,0.0018889402485143397,0.007955491221147935
macrophage -> fibroblast,6,7917.0,0.02814827332311369,0.0018889402485143397,0.007955491221147935
macrophage -> fibroblast,7,2694.0,0.03080920564216778,0.00454987256756843,0.019162316699589177
malignant -> fibroblast,0,2941611.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,1,249955.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,2,111141.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,3,97700.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,4,97452.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,5,89988.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,6,87256.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,7,61230.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,8,50837.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,9,49148.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,10,31824.0,0.007840456736076392,0.0,0.0
malignant -> fibroblast,11,25476.0,0.008453112649018374,0.0006126559129419826,0.0034512576479842827
malignant -> fibroblast,12,15314.0,0.008453112649018374,0.0006126559129419826,0.0034512576479842827
malignant -> fibroblast,13,13378.0,0.008453112649018374,0.0006126559129419826,0.0034512576479842827
malignant -> fibroblast,14,7821.0,0.008453112649018374,0.0006126559129419826,0.0034512576479842827
malignant -> fibroblast,15,2347.0,0.01278227524499361,0.004941818508917218,0.02783860983557659
endothelial -> immune other,0,5743981.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,1,2087590.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,2,1246334.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,3,789151.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,4,446261.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,5,263025.0,0.007412487228571088,0.0,0.0
endothelial -> immune other,6,142637.0,0.007781992049748662,0.0003695048211775744,0.005111766893705124
endothelial -> immune other,7,82648.0,0.007979410123356017,0.0005669228947849294,0.00784286839779117
endothelial -> immune other,8,37411.0,0.007979410123356017,0.0005669228947849294,0.00784286839779117
endothelial -> immune other,9,14683.0,0.008317338451695458,0.0009048512231243696,0.012517802910812089
endothelial -> immune other,10,3644.0,0.008317338451695458,0.0009048512231243696,0.012517802910812089
endothelial -> immune other,11,1341.0,0.008317338451695458,0.0009048512231243696,0.012517802910812089
endothelial -> immune other,12,651.0,0.008317338451695458,0.0009048512231243696,0.012517802910812089
epithelial -> immune other,0,8313672.0,0.007805727780665728,0.0,0.0
epithelial -> immune other,1,1258448.0,0.007805727780665728,0.0,0.0
epithelial -> immune other,2,594645.0,0.007805727780665728,0.0,0.0
epithelial -> immune other,3,321458.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,4,182004.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,5,92719.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,6,47723.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,7,20816.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,8,12807.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,9,4651.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,10,5574.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,11,1924.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,12,1527.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,13,486.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
epithelial -> immune other,15,903.0,0.008004712731305014,0.0001989849506392853,0.0020594494663097036
fibroblast -> immune other,0,3539238.0,0.0321463366805708,0.0,0.0
fibroblast -> immune other,1,2147157.0,0.0321463366805708,0.0,0.0
fibroblast -> immune other,2,1718119.0,0.0321463366805708,0.0,0.0
fibroblast -> immune other,3,1254455.0,0.032608472651108826,0.00046213597053802735,0.0021938973843676534
fibroblast -> immune other,4,859979.0,0.032608472651108826,0.00046213597053802735,0.0021938973843676534
fibroblast -> immune other,5,569172.0,0.032608472651108826,0.00046213597053802735,0.0021938973843676534
fibroblast -> immune other,6,343363.0,0.032608472651108826,0.00046213597053802735,0.0021938973843676534
fibroblast -> immune other,7,190017.0,0.032608472651108826,0.00046213597053802735,0.0021938973843676534
fibroblast -> immune other,8,116317.0,0.0326565347453839,0.0005101980648131027,0.002422062490828768
fibroblast -> immune other,9,59534.0,0.0326565347453839,0.0005101980648131027,0.002422062490828768
fibroblast -> immune other,10,34810.0,0.0326565347453839,0.0005101980648131027,0.002422062490828768
fibroblast -> immune other,11,13745.0,0.0326565347453839,0.0005101980648131027,0.002422062490828768
fibroblast -> immune other,12,8258.0,0.0326565347453839,0.0005101980648131027,0.002422062490828768
fibroblast -> immune other,13,2436.0,0.03562487964567687,0.0034785429651060726,0.01651368168479052
fibroblast -> immune other,14,2081.0,0.03562487964567687,0.0034785429651060726,0.01651368168479052
fibroblast -> immune other,15,676.0,0.03562487964567687,0.0034785429651060726,0.01651368168479052
macrophage -> immune other,0,6096611.0,0.0276566915835328,0.0,0.0
macrophage -> immune other,1,2060113.0,0.0276566915835328,0.0,0.0
macrophage -> immune other,2,926520.0,0.02793659134130452,0.0002798997577717205,0.0017061655156775436
macrophage -> immune other,3,558401.0,0.02793659134130452,0.0002798997577717205,0.0017061655156775436
macrophage -> immune other,4,380939.0,0.02793659134130452,0.0002798997577717205,0.0017061655156775436
macrophage -> immune other,5,288483.0,0.02793659134130452,0.0002798997577717205,0.0017061655156775436
macrophage -> immune other,6,196716.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,7,145227.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,8,88776.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,9,56762.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,10,31878.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,11,16894.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,12,8361.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,13,3015.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
macrophage -> immune other,14,661.0,0.029351255722336718,0.0016945641388039188,0.010329436941096103
malignant -> immune other,0,9172009.0,0.009627661726018803,0.0,0.0
malignant -> immune other,1,771672.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,2,305090.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,3,152934.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,4,101958.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,5,75420.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,6,63817.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,7,49681.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,8,45591.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,9,36196.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,10,26893.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,11,25959.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,12,12422.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,13,9633.0,0.009765892827971233,0.00013823110195242995,0.0006944529075913289
malignant -> immune other,14,5451.0,0.013489387026383654,0.003861725300364851,0.0194007450224933
malignant -> immune other,15,4631.0,0.013489387026383654,0.003861725300364851,0.0194007450224933
endothelial -> macrophage,0,1415278.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,1,350629.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,2,218118.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,3,134124.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,4,65358.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,5,39799.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,6,19864.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,7,12011.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,8,2433.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,9,4622.0,0.005616124931262697,0.0,0.0
endothelial -> macrophage,10,1302.0,0.008448540706605223,0.002832415775342526,0.03267126314507474
epithelial -> macrophage,0,1528831.0,0.007038057182252322,0.0,0.0
epithelial -> macrophage,1,388807.0,0.0071564401817450106,0.00011838299949268848,0.00125526080840682
epithelial -> macrophage,2,168595.0,0.0071564401817450106,0.00011838299949268848,0.00125526080840682
epithelial -> macrophage,3,93620.0,0.0071564401817450106,0.00011838299949268848,0.00125526080840682
epithelial -> macrophage,4,43923.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,5,24059.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,6,7416.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,7,3379.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,8,1976.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,9,873.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,10,1084.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,11,222.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
epithelial -> macrophage,12,753.0,0.00716974368166338,0.0001316864994110583,0.0013963229721781
fibroblast -> macrophage,0,1392846.0,0.008683659212863447,0.0,0.0
fibroblast -> macrophage,1,326209.0,0.008893776970289967,0.00021011775742652006,0.0009367827132104259
fibroblast -> macrophage,2,209334.0,0.008893776970289967,0.00021011775742652006,0.0009367827132104259
fibroblast -> macrophage,3,122332.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,4,78094.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,5,53971.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,6,31570.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,7,22593.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,8,13053.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,9,7305.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,10,3416.0,0.009427262934276962,0.0007436037214135147,0.0033152605483271784
fibroblast -> macrophage,11,1768.0,0.010657193605683837,0.00197353439282039,0.008798746596973874
fibroblast -> macrophage,12,1047.0,0.010657193605683837,0.00197353439282039,0.008798746596973874
malignant -> macrophage,0,1641087.0,0.008034308967166275,0.0,0.0
malignant -> macrophage,1,354874.0,0.008125649490513611,9.134052334733647e-05,0.00047193377323495204
malignant -> macrophage,2,134933.0,0.008125649490513611,9.134052334733647e-05,0.00047193377323495204
malignant -> macrophage,3,39577.0,0.008865348665949131,0.0008310396987828567,0.004293775493963908
malignant -> macrophage,4,31035.0,0.008865348665949131,0.0008310396987828567,0.004293775493963908
malignant -> macrophage,5,12932.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,6,14521.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,7,7577.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,8,5015.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,9,4911.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,10,5877.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,11,5091.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,12,500.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,13,2024.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,14,3039.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
malignant -> macrophage,15,545.0,0.009398375032241424,0.001364066065075149,0.007047790196961255
endothelial -> malignant,0,7883300.0,0.004281153947854475,0.0,0.0
endothelial -> malignant,1,882772.0,0.004281153947854475,0.0,0.0
endothelial -> malignant,2,359505.0,0.004281153947854475,0.0,0.0
endothelial -> malignant,3,140497.0,0.004522351101264173,0.00024119715340969843,0.0025029368258979064
endothelial -> malignant,4,52157.0,0.004522351101264173,0.00024119715340969843,0.0025029368258979064
endothelial -> malignant,5,25889.0,0.004522351101264173,0.00024119715340969843,0.0025029368258979064
endothelial -> malignant,6,9637.0,0.004522351101264173,0.00024119715340969843,0.0025029368258979064
