pair,stratum,totals,rate,excess_rate,lam
Fibroblast / CAF -> Epithelial,4,30711,0.0104154151133896,1.1256439045575356e-05,0.00032171498473814445
Fibroblast / CAF -> Epithelial,5,2954,0.016691068814055635,0.00628691013971161,0.1796832187744525
Fibroblast / CAF -> Epithelial,6,461,0.016691068814055635,0.00628691013971161,0.1796832187744525
Myeloid -> Epithelial,0,25906949,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,1,10999610,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,2,6457181,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,3,3720444,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,4,1916949,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,5,914529,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,6,403386,0.0018932393156563694,0.0,0.0
Myeloid -> Epithelial,7,170163,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
Myeloid -> Epithelial,8,65861,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
Myeloid -> Epithelial,9,18981,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
Myeloid -> Epithelial,10,5554,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
Myeloid -> Epithelial,11,2643,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
Myeloid -> Epithelial,12,461,0.0020101417339558453,0.0001169024182994759,0.0013870949999114654
T / NK -> Epithelial,0,17431185,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,1,13289868,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,2,7645605,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,3,4308959,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,4,2644559,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,5,1792941,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,6,1275379,0.0027322196581600717,0.0,0.0
T / NK -> Epithelial,7,898333,0.002770687484485152,3.846782632508034e-05,0.0010231513188679576
T / NK -> Epithelial,8,628736,0.002797526463939144,6.530680577907216e-05,0.0017370033830153432
T / NK -> Epithelial,9,373726,0.002797526463939144,6.530680577907216e-05,0.0017370033830153432
T / NK -> Epithelial,10,191976,0.002797526463939144,6.530680577907216e-05,0.0017370033830153432
T / NK -> Epithelial,11,75970,0.002797526463939144,6.530680577907216e-05,0.0017370033830153432
T / NK -> Epithelial,12,21182,0.0030686431876121236,0.00033642352945205184,0.008948053756618418
T / NK -> Epithelial,13,4047,0.003494874184529357,0.0007626545263692852,0.020284769352475803
T / NK -> Epithelial,14,207,0.003494874184529357,0.0007626545263692852,0.020284769352475803
T / NK -> Epithelial,15,38,0.003494874184529357,0.0007626545263692852,0.020284769352475803
B / plasma -> Fibroblast / CAF,0,524260,0.0026263572271532937,0.0,0.0
B / plasma -> Fibroblast / CAF,1,204828,0.0026263572271532937,0.0,0.0
B / plasma -> Fibroblast / CAF,2,76818,0.0026263572271532937,0.0,0.0
B / plasma -> Fibroblast / CAF,3,27026,0.0026263572271532937,0.0,0.0
