pair,gene,resid_z,excess,proportional_expected
epithelial -> fibroblast,CXCL14,11.954486624819245,479.70474646380296,72.82308344244827
epithelial -> fibroblast,CCND1,11.305729974290744,539.9969146354194,114.76838929657121
immune other -> fibroblast,RGS2,10.335148293798694,3770.684386523934,802.2779781427076
macrophage -> fibroblast,DUSP5,10.06430050637409,5209.541878706623,1580.563812000451
macrophage -> fibroblast,MMP12,8.511212101564473,232.56691128503644,29.741955118084448
malignant -> fibroblast,MIF,8.396998673888294,781.1589750298103,225.0213127707901
malignant -> fibroblast,RAC1,8.616621563093997,620.9791584698903,160.91595343035397
malignant -> fibroblast,ITGB1,12.988287472036614,877.9839804384246,117.79413559321661
malignant -> fibroblast,TPM1,11.157801911069733,1034.539541248862,166.7493987615948
malignant -> fibroblast,MMP7,15.007796009523414,2716.718500480486,767.1971014957893
endothelial -> immune other,GPX3,9.666057032530613,2252.168348344634,827.1418640085215
endothelial -> immune other,HSPA1A,17.490892968074718,10822.071196387074,2629.830126693995
endothelial -> immune other,HSPA1B,16.70998259270501,9197.785643225641,2260.240257490437
endothelial -> immune other,CCL21,12.756318883685323,2346.5674064995083,621.4615416783863
epithelial -> immune other,HSP90AA1,10.244771938007975,1683.8963155981455,425.01370672596073
epithelial -> immune other,CLU,12.616417535121167,1517.9633999767932,408.9720931479862
macrophage -> immune other,NPPC,8.265146618541841,6637.024224646575,2726.640841151047
macrophage -> immune other,GADD45B,10.445945856325942,3172.932208704742,1092.3629910127515
macrophage -> immune other,GLUL,9.664467119864474,7484.990922538773,2956.505016256768
macrophage -> immune other,FGR,14.54945760073765,1649.5201164768432,292.9474655026928
macrophage -> immune other,FCGR3A,12.944029359948793,2948.873736626633,803.4846834794484
macrophage -> immune other,SRGN,20.80651236899359,7152.530886229539,1317.8078512746408
macrophage -> immune other,HCK,10.274343158182448,842.9922230083789,162.56443002617203
macrophage -> immune other,CCL3,16.79372221671325,1635.9764272692125,296.7287109467674
macrophage -> immune other,FPR1,20.637827480286653,2050.065849759849,219.21579196782332
macrophage -> immune other,TLR2,20.959782108017215,2244.042918094866,242.66984039623358
macrophage -> immune other,CCRL2,10.464136088214241,639.4277670891028,106.92403347542366
macrophage -> immune other,CCL3L3,23.995990007258857,2106.1095481364773,230.16418833523505
macrophage -> immune other,ITGAM,9.680732263017642,774.3327325601831,146.47127666888096
macrophage -> immune other,CLEC7A,12.419771364711227,1125.3467443178952,205.537646797869
macrophage -> immune other,S100A9,17.411529724985296,3141.4622671265433,552.0281171164173
macrophage -> immune other,ITGAX,17.38127360952977,2518.703170486828,462.4206815025235
macrophage -> immune other,CCL4,17.15592764115738,1511.1687821583519,191.24317565337165
macrophage -> immune other,CCL4L2,23.003777124592627,2019.9671263900586,192.78964224314998
macrophage -> immune other,OLR1,8.161640257435508,474.86228913213904,74.2718603897546
macrophage -> immune other,LEP,10.611858003529518,462.37643093681186,46.556043135822065
macrophage -> immune other,C5AR2,8.732106556991559,522.8016521006939,83.47613498596144
malignant -> immune other,IL1RN,27.050740136045537,1220.8625138268242,35.67211838351414
malignant -> immune other,SLC40A1,10.475004837730175,728.2665206148241,193.31726807973712
malignant -> immune other,RARA,8.803674255439741,486.1531085429308,58.637932130951874
malignant -> immune other,IL1RAP,21.82553260871356,960.5636644704667,34.71826555541395
malignant -> immune other,KRT16,11.158395487644695,532.1759092120757,78.93794895003082
malignant -> immune other,IER3,9.713555093782455,766.2200779129735,236.41067268056156
malignant -> immune other,KRT18,8.074570534786023,650.6610978760739,215.2283382290146
malignant -> immune other,PF4,9.12687398105912,212.9663978263288,10.467399312339067
malignant -> immune other,CD9,11.523303719356791,637.0546366824858,140.23379116931935
malignant -> immune other,KRT6C,8.68951487987531,272.2981823104807,42.56969159558056
malignant -> immune other,CXCL6,8.057379859510224,174.3177084098575,9.055329196103274
fibroblast -> macrophage,MT2A,9.803134065684747,936.8410780406855,285.70791665047744
fibroblast -> macrophage,PTGDS,15.617382418184347,698.8757380167528,85.95299575520168
endothelial -> malignant,HSPA1B,8.934846256534547,1128.775554644646,149.4974984769268
endothelial -> malignant,FOS,12.390724957505427,1013.4782290139319,39.70319933418405
endothelial -> malignant,JUNB,9.975161363284945,941.1829911642762,59.83747994259537
epithelial -> malignant,CXCL2,10.168510274067485,947.5941863455064,268.09407732792965
epithelial -> malignant,CXCL3,10.396978329190667,857.0753355789266,146.78343636899316
fibroblast -> malignant,THBS1,16.55203665927828,1204.423478206349,206.92393043661485
fibroblast -> malignant,COL16A1,9.178923510234217,578.5162892331468,102.49807417779216
