pair,stratum,totals,rate,excess_rate,lam
Endothelial -> Epithelial,3,765311,0.010684545237165022,0.003258061806800338,0.052194986693235
Endothelial -> Epithelial,4,219872,0.011925120069858826,0.004498636639494142,0.07206931404616097
Endothelial -> Epithelial,5,60666,0.015115550720337587,0.007689067289972902,0.12318083224997539
Endothelial -> Epithelial,6,16824,0.016681934332963694,0.00925545090259901,0.14827469991291362
Endothelial -> Epithelial,7,3917,0.016681934332963694,0.00925545090259901,0.14827469991291362
Endothelial -> Epithelial,8,854,0.02576112412177986,0.018334640691415174,0.29372565152577107
Endothelial -> Epithelial,9,150,0.03333333333333333,0.025906849902968647,0.4150343873546877
Fibroblast / CAF -> Epithelial,0,40577628,0.010369778144745179,0.0,0.0
Fibroblast / CAF -> Epithelial,1,8634040,0.010551813858165528,0.00018203571342034937,0.0019300901917667155
Fibroblast / CAF -> Epithelial,2,1194981,0.010551813858165528,0.00018203571342034937,0.0019300901917667155
Fibroblast / CAF -> Epithelial,3,152235,0.010877919006798699,0.0005081408620535195,0.005387721318292397
Fibroblast / CAF -> Epithelial,4,21530,0.01111204646855796,0.0007422683238127812,0.007870130451500828
Fibroblast / CAF -> Epithelial,5,2228,0.01111204646855796,0.0007422683238127812,0.007870130451500828
Fibroblast / CAF -> Epithelial,6,69,0.028985507246376812,0.01861572910163163,0.1973790498388482
Myeloid -> Epithelial,0,30362678,0.000869422651058645,0.0,0.0
Myeloid -> Epithelial,1,10348675,0.002014557419186514,0.0011451347681278692,0.009936632933458471
Myeloid -> Epithelial,2,5230827,0.003429476830336771,0.002560054179278126,0.02221425755052484
Myeloid -> Epithelial,3,2628812,0.005024322773937428,0.004154900122878783,0.03605315159867531
Myeloid -> Epithelial,4,1172037,0.007059504094154024,0.006190081443095379,0.05371295051045333
Myeloid -> Epithelial,5,510350,0.009556186930537867,0.008686764279479222,0.07537731839701287
Myeloid -> Epithelial,6,205511,0.011614950051335452,0.010745527400276808,0.09324174274049128
Myeloid -> Epithelial,7,81012,0.013528859921986866,0.012659437270928222,0.10984923766746611
