target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit,z_raw,lfc_raw,hit_raw,clean,sign_consistent
Fibroblast / CAF,Ductal/tumor epithelial,BASP1,Fibroblast / CAF,15729.0,0.0848723668772006,14.29749833040225,1.318235719148702,0.0,0.0,True,10.984862571194535,0.06429242428769771,True,True,True
Fibroblast / CAF,Exocrine epithelial,BASP1,Fibroblast / CAF,15729.0,-0.203050054336681,-19.180474784876484,1.318235719148702,0.0,0.0,True,-29.085624275018684,-0.29686247287381035,True,True,True
Fibroblast / CAF,Immune,FCGR3A,Immune,1141.464095767796,-0.2380439977029358,-10.602606003252117,1.0,0.6499229869445655,138.8411667902418,True,8.848648202746716,0.14903743674330205,True,False,False
Fibroblast / CAF,Ductal/tumor epithelial,PTGDS,Fibroblast / CAF,5368.0,-0.1165447695211374,-7.9380548418433,1.9102262365212643,0.0,0.0,True,-9.14223606229672,-0.13258826886180264,True,True,True
Fibroblast / CAF,Endocrine,PTGDS,Fibroblast / CAF,5368.0,0.2220346717814557,6.880030375949901,1.9102262365212643,0.0,0.0,True,5.985040701496702,0.18867224443255984,False,True,True
Fibroblast / CAF,Endothelial,PTGDS,Fibroblast / CAF,5368.0,0.1081885485312473,7.017245636572187,1.9102262365212643,0.0,0.0,True,6.0723133070424336,0.09237287648396869,True,True,True
Fibroblast / CAF,Exocrine epithelial,PTGDS,Fibroblast / CAF,5368.0,0.1233626889334305,7.924497289577962,1.9102262365212643,0.0,0.0,True,1.7506228703798876,0.026513675892361,False,True,True
Fibroblast / CAF,Immune,PTGDS,Fibroblast / CAF,5368.0,0.1955088135173472,13.17499008929465,1.9102262365212643,0.0,0.0,True,9.730677338526393,0.14227389015555775,True,True,True
Fibroblast / CAF,Exocrine epithelial,CFHR3,Endothelial,1473.260098438042,0.1249159072931774,6.1205307166713565,1.0,0.1438257944100563,3.795541756652636,True,2.8561638121229738,0.05284447893986565,False,False,True
Fibroblast / CAF,Immune,MRC1,Immune,905.6755087780808,-0.2601703706543884,-10.37303438457068,1.0,0.6676484047359781,105.74714722317668,True,8.715397814155978,0.16382055970658252,True,False,False
Fibroblast / CAF,Exocrine epithelial,MS4A4A,Immune,1051.5631798455138,0.1367230533965623,6.056848828387471,1.0,0.6827703639448388,6.869930579541271,True,5.05807347009284,0.08551191181353772,False,False,True
Fibroblast / CAF,Immune,MS4A4A,Immune,1051.5631798455138,-0.1815484788070298,-7.904367103107861,1.0,0.6827703639448388,115.64822684774944,True,13.161894345254344,0.23272130677595929,True,False,False
Fibroblast / CAF,Endothelial,TCIM,Endothelial,3976.357386900514,-0.1009964114246792,-6.262783585075653,1.0546590896310115,0.3170129664682637,227.95888357687303,True,0.11195056195275563,0.0015837144188112406,False,False,False
Fibroblast / CAF,Ductal/tumor epithelial,CYTIP,Immune,1459.854449890997,-0.1994322552535857,-9.98454048664669,1.0,0.5876525333109672,5.814755090908001,True,-12.71210685167863,-0.2269034485230939,True,False,True
Fibroblast / CAF,Immune,GPR183,Immune,542.1226640984005,-0.2495904995289597,-7.71237690804772,1.0,0.7444313575505501,84.7695173336709,True,11.960580308939091,0.2602513900379888,True,False,False
Fibroblast / CAF,Exocrine epithelial,CD93,Endothelial,801.4502036141803,0.1546188833580608,6.143168268007095,1.0,0.7297015716611857,16.637124699994054,True,7.343363424921749,0.1114321611282232,True,False,True
Fibroblast / CAF,Immune,CD93,Endothelial,801.4502036141803,-0.1708884276917482,-6.455589139914921,1.0,0.7297015716611857,92.27444526827855,True,5.829438230116819,0.09544293743536392,False,False,False
Fibroblast / CAF,Ductal/tumor epithelial,IGF1,Fibroblast / CAF,4788.0,-0.2939717123072299,-18.57035442254555,1.5278679139504847,0.0,0.0,True,-20.283047603885976,-0.3092963518988438,True,True,True
Fibroblast / CAF,Exocrine epithelial,IGF1,Fibroblast / CAF,4788.0,0.2486466996242044,18.452560444713395,1.5278679139504847,0.0,0.0,True,11.653352401122941,0.14933407086105469,True,True,True
Fibroblast / CAF,Immune,IGF1,Fibroblast / CAF,4788.0,0.1576520531041625,11.354361739377744,1.5278679139504847,0.0,0.0,True,8.246136974869113,0.11014292855597585,True,True,True
Fibroblast / CAF,Ductal/tumor epithelial,MYLK,Mural / pericyte,21012.013941069148,0.1298445318463483,25.59530800596519,1.3593915998480968,0.0523821108560647,44.389960255849225,True,22.493508076239543,0.11440516942443281,True,False,True
Fibroblast / CAF,Endothelial,MYLK,Mural / pericyte,21012.013941069148,-0.0514925903769745,-6.519548586581477,1.3593915998480968,0.0523821108560647,113.94392310916312,True,-7.114838999917091,-0.05505252006564356,True,False,True
Fibroblast / CAF,Exocrine epithelial,MYLK,Mural / pericyte,21012.013941069148,-0.1580858984900232,-18.807332479706517,1.3593915998480968,0.0523821108560647,18.64876183101995,True,-30.365802586458127,-0.2510819588331019,True,True,True
Fibroblast / CAF,Ductal/tumor epithelial,PCOLCE,Fibroblast / CAF,4602.0,0.0720429785092309,6.825514325803788,1.170497529813813,0.0,0.0,True,5.053304862439675,0.05258926462146902,False,True,True
Fibroblast / CAF,Ductal/tumor epithelial,ACTG2,Mural / pericyte,7375.822414378485,0.1168262716682757,14.49452035270872,1.2145237320241618,0.2291144561952888,183.4345420430772,True,21.086965056401134,0.16194621213362095,True,False,True
Fibroblast / CAF,Endothelial,ACTG2,Mural / pericyte,7375.822414378485,-0.1195758285790243,-8.912001219839158,1.2145237320241618,0.2291144561952888,59.81345589645594,True,-10.206315685181886,-0.1318062914538683,True,False,True
Fibroblast / CAF,Exocrine epithelial,ACTG2,Mural / pericyte,7375.822414378485,-0.2576265411230459,-16.399775802390707,1.2145237320241618,0.2291144561952888,26.79652480196761,True,-22.85630329932019,-0.31953282994461135,True,False,True
Fibroblast / CAF,Immune,ACTG2,Mural / pericyte,7375.822414378485,-0.0675430076910611,-7.021325229021129,1.2145237320241618,0.2291144561952888,86.6231441127005,True,-8.063856585263144,-0.07431053865147252,True,False,True
Fibroblast / CAF,Ductal/tumor epithelial,CD3E,Immune,1170.442715043076,-0.2461426329378346,-10.465196180582709,1.0,0.5752844942110453,2.937350509840124,True,-12.88698296500559,-0.2850340835464435,True,False,True
Fibroblast / CAF,Ductal/tumor epithelial,CTLA4,Immune,1125.9195166344357,-0.2540871321178028,-6.05896533227382,2.5000213232946336,0.1267435669503407,1.2139050576380106,True,-7.562334834512077,-0.27160252360932846,True,False,True
Fibroblast / CAF,Exocrine epithelial,CRISPLD2,Mural / pericyte,14013.556618674058,0.1801040257568538,26.5363602378129,1.1753154635645564,0.0550766051203499,10.791990394748993,True,11.564569884824035,0.07867787288883613,True,True,True
