pair,gene,resid_z,excess,proportional_expected
T / NK -> Epithelial,PARP15,11.027892977690657,1098.502409783122,311.9210611799257
T / NK -> Epithelial,WDFY4,9.376741603305737,791.8160066312173,268.86468568578255
Myeloid -> Fibroblast / CAF,PIM1,8.36063485557435,416.79798696663175,83.27439810428318
T / NK -> Fibroblast / CAF,MIAT,8.591861798195161,327.19517336156144,44.46402743355033
B / plasma -> Myeloid,CCDC102B,13.661730600832303,638.2804795578759,88.31113238647013
B / plasma -> Myeloid,CFH,8.137074453336195,682.3761533633301,145.78118880785325
B / plasma -> Myeloid,COL18A1,9.628418314754814,1120.4733036055982,287.91669609905085
B / plasma -> Myeloid,HEYL,14.01816130469683,1085.2543623540728,194.84502046133431
B / plasma -> Myeloid,IL6,20.177024612150916,1511.5301581570147,195.9918157062961
B / plasma -> Myeloid,MYH11,23.24536843232894,2821.693530460567,464.26134073926687
B / plasma -> Myeloid,TRPC6,8.200266681988309,277.6903231424471,41.88225256134032
B / plasma -> Myeloid,ADAMTS1,10.724605589645158,3798.336112116972,1386.4351689435148
B / plasma -> Myeloid,PDGFRB,8.540146640849134,1007.7183620609267,245.59391288235315
B / plasma -> Myeloid,SYNM,11.230893592894855,487.4129872915681,74.15941134266794
B / plasma -> Myeloid,ITGA7,13.887509937578516,861.1511155311806,100.65608527130378
B / plasma -> Myeloid,ADAMTS4,12.018935044957928,1373.6335322021532,313.6500657056792
B / plasma -> Myeloid,AVPR1A,19.185873450359423,1106.0370247616074,159.86520313291166
B / plasma -> Myeloid,C1QTNF1,8.090592492229415,335.0585854327234,75.38629869088619
B / plasma -> Myeloid,MCAM,8.030639575058578,587.298960133118,208.98521770887854
B / plasma -> Myeloid,NOTCH3,10.717250896517738,669.1125507216362,149.8736848968676
Epithelial -> Myeloid,ANO1,13.059308345332006,1827.0484541115748,227.23378507713005
Epithelial -> Myeloid,ITGA2,9.989405562695264,713.0169584408598,97.10233066385143
Epithelial -> Myeloid,ITGA3,10.423863107375308,802.8992258103086,146.3149045369446
Epithelial -> Myeloid,LAMC2,8.251122685450198,236.35707382202605,15.029618900765813
Epithelial -> Myeloid,SOX9,11.036013459974766,975.9781991371323,160.33447332544588
Epithelial -> Myeloid,ITGB6,15.890498652434106,668.2199615396112,48.41131910973253
