cls,gene,n,removal_prob
inplane,CYP2A7,1,0.6293578301360764
inplane,AMY2A,4,0.9999714668750576
ambient,CA4,1,0.7569479926235083
ambient,GLYATL1,1,0.4640578265000328
ambient,PROX1,1,0.8591339296170257
ambient,DIRAS3,1,0.9228766579590642
ambient,UMOD,1,0.9381193303892679
ambient,GATM,1,0.9999544991699698
ambient,FKBP11,1,0.9793822548493694
ambient,CPA3,1,0.9408644382778616
inplane,ECSCR,1,0.0
inplane,AMY2A,1,0.9999355265044934
inplane,KCNK3,1,0.9691709040197533
inplane,HAMP,1,0.6935883126006781
inplane,GATM,1,0.9998308512322525
induction,AMY2A,2,0.9999814266992486
induction,GATM,5,0.9999610766972961
induction,AQP8,3,0.999847774923179
ambient,FKBP11,1,0.9433632886503702
ambient,RIDA,1,0.879742295445746
ambient,CA4,1,0.8022403174974283
ambient,GLYATL1,1,0.5235882245937356
ambient,CPA3,1,0.8537020316147705
ambient,DIRAS3,1,0.9485643435157753
inplane,MMRN2,1,0.0
inplane,TCIM,1,0.0
inplane,CFTR,1,0.9998806201794439
inplane,GATM,1,0.9999566936107211
outplane,CFTR,1,0.9998765445797506
outplane,SNCA,1,0.40492076248512854
outplane,FXYD2,1,0.9774973766706014
outplane,PROX1,1,0.9254040045597676
ambient,CA4,1,0.9511746625816175
ambient,DIRAS3,1,0.9803281312053196
outplane,AMY2A,4,0.9999774494519219
outplane,TCIM,1,0.0
outplane,CLEC14A,1,0.0
outplane,BAMBI,1,0.7832715803419238
outplane,AMY2A,1,0.999978260488552
inplane,MMRN2,2,0.0
inplane,AMY2A,4,0.999978021042497
induction,AMY2A,3,0.9999797697034685
induction,GATM,3,0.9999575439453219
induction,AQP8,4,0.9998340588749041
inplane,PCNA,1,0.6914290808350867
inplane,CFB,1,0.9427088606470307
inplane,CFTR,1,0.9998939433335294
inplane,ERBB2,1,0.9612108881297015
induction,AMY2A,5,0.9999758770787018
induction,GATM,3,0.9999488976137937
induction,AQP8,2,0.999801052296189
ambient,CPA3,1,0.8683394270606699
ambient,AQP8,1,0.9998278112402694
inplane,AMY2A,3,0.9999638752102146
inplane,GATM,1,0.9999218054976242
outplane,AMY2A,4,0.9999789399919641
ambient,COCH,1,0.8703156026648625
ambient,GATM,1,0.9999450174087078
induction,AMY2A,4,0.9999778823944544
induction,GATM,5,0.9999534608738675
induction,AQP8,1,0.9998183021533235
outplane,CFTR,1,0.9998676738490739
