target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit
Exocrine epithelial,Immune,SLC26A2,Ductal/tumor epithelial,2272.2719300465733,0.03125127799634625,1.5470720307938406,1.0416055091355518,0.19296098561458985,14.707910097899527,False
Exocrine epithelial,Mural / pericyte,SLC26A2,Ductal/tumor epithelial,2272.2719300465733,0.02715617258392035,0.2157803471391728,1.0416055091355518,0.19296098561458985,22.352612461581447,False
Exocrine epithelial,Ductal/tumor epithelial,SFTA2,Ductal/tumor epithelial,279.2991540438629,0.05488194548710643,1.194125831979209,1.0633692575972624,0.1506199892693515,1.7589773210775401,False
Exocrine epithelial,Endocrine,SFTA2,Ductal/tumor epithelial,279.2991540438629,-0.24637329928504204,-1.2043767489099968,1.0633692575972624,0.1506199892693515,0.20613456464379948,False
Exocrine epithelial,Endothelial,SFTA2,Ductal/tumor epithelial,279.2991540438629,-0.07585698828771005,-1.0900322277987546,1.0633692575972624,0.1506199892693515,1.3391810907629984,False
Exocrine epithelial,Fibroblast / CAF,SFTA2,Ductal/tumor epithelial,279.2991540438629,-0.04210542535000366,-0.585497728921429,1.0633692575972624,0.1506199892693515,1.0404203298132444,False
Exocrine epithelial,Immune,SFTA2,Ductal/tumor epithelial,279.2991540438629,0.0823133938794293,1.4551337138704414,1.0633692575972624,0.1506199892693515,0.8273199430068484,False
Exocrine epithelial,Mural / pericyte,SFTA2,Ductal/tumor epithelial,279.2991540438629,0.4662413417774527,1.6938133180854238,1.0633692575972624,0.1506199892693515,0.0,False
Exocrine epithelial,Ductal/tumor epithelial,CD86,Immune,549.1986039174196,0.11172234002972588,3.493174522705769,1.0,0.3407118385655288,4.064663809517018,False
Exocrine epithelial,Endocrine,CD86,Immune,549.1986039174196,0.08446463881369454,0.9830842886155295,1.0,0.3407118385655288,2.679749340369393,False
Exocrine epithelial,Endothelial,CD86,Immune,549.1986039174196,0.027820228093884486,0.6119038258356914,1.0,0.3407118385655288,3.6827479995982455,False
Exocrine epithelial,Fibroblast / CAF,CD86,Immune,549.1986039174196,0.07734107815268561,1.6927933266765307,1.0,0.3407118385655288,12.410728219915132,False
